Year,RoundNumber,Driver,StartingCompound,StartingTyreLife,FirstStintLength,avg_air_temp,avg_humidity,avg_pressure,avg_rainfall,avg_track_temp,avg_wind_direction,avg_wind_speed
2025,1,HUL,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,LEC,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,NOR,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,OCO,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,PIA,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,RUS,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,SAI,INTERMEDIATE,1.0,1.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,STR,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,TSU,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,VER,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,10,ALB,MEDIUM,5.0,23.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,ALO,MEDIUM,5.0,15.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,ANT,MEDIUM,7.0,14.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,BEA,MEDIUM,1.0,18.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,BOR,HARD,1.0,49.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,COL,MEDIUM,6.0,14.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,GAS,HARD,1.0,53.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
