Year,Round,GrandPrix,CircuitName,CircuitType,Location,Country,Driver,Team,LapTime_seconds,Sector1Time,Sector2Time,Sector3Time,Tyre,TyreLife,FreshTyre,TrackStatus,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,,,,,,,,,,,,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,ALO,Alpine,79.595,25.764,27.126,26.705,SOFT,2.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,BOT,Alfa Romeo,80.192,26.045,27.455,26.692,SOFT,2.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,GAS,AlphaTauri,80.732,26.39,27.254,27.088,SOFT,7.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,HAM,Mercedes,80.47,25.979,27.379,27.112,SOFT,3.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,LAT,Williams,81.971,26.653,27.869,27.449,SOFT,4.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,LEC,Ferrari,78.796,25.581,26.959,26.256,SOFT,9.0,False,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,MAG,Haas F1 Team,79.902,26.054,27.081,26.767,SOFT,2.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,MSC,Haas F1 Team,80.422,26.129,27.376,26.917,SOFT,8.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,NOR,McLaren,79.294,25.742,27.08,26.472,SOFT,2.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,OCO,Alpine,82.338,26.48,28.024,27.834,SOFT,6.0,False,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,PER,Red Bull Racing,79.296,25.6,27.042,26.654,SOFT,2.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,RIC,McLaren,79.98,25.795,27.212,26.973,SOFT,7.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,RUS,Mercedes,80.383,26.019,27.482,26.882,SOFT,4.0,False,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,SAI,Ferrari,78.99,25.794,26.93,26.266,SOFT,2.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,STR,Aston Martin,80.342,25.915,27.197,27.23,SOFT,2.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,TSU,AlphaTauri,80.474,26.331,27.339,26.804,SOFT,7.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,VER,Red Bull Racing,78.793,25.472,26.85,26.471,SOFT,2.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,VET,Aston Martin,79.957,25.833,27.325,26.799,SOFT,2.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,4,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,permanent,Imola,Italy,ZHO,Alfa Romeo,79.73,25.729,27.408,26.593,SOFT,8.0,True,1,True,12.7,84.0,997.2,False,4.5,247
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,ALB,Williams,91.266,30.641,34.81,25.815,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,ALO,Alpine,90.16,29.773,34.616,25.771,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,BOT,Alfa Romeo,89.475,29.833,34.074,25.568,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,GAS,AlphaTauri,89.69,29.907,34.246,25.537,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,HAM,Mercedes,89.625,29.687,34.29,25.648,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,LAT,Williams,91.325,30.651,34.834,25.84,SOFT,4.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,LEC,Ferrari,88.796,29.441,33.831,25.524,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,MAG,Haas F1 Team,90.975,30.523,34.919,25.533,SOFT,9.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,MSC,Haas F1 Team,90.423,30.044,34.532,25.847,SOFT,6.0,False,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,NOR,McLaren,89.634,29.709,34.057,25.868,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,PER,Red Bull Racing,89.036,29.635,34.012,25.389,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,RIC,McLaren,90.31,29.834,34.501,25.975,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,RUS,Mercedes,90.173,29.799,34.559,25.815,SOFT,3.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,SAI,Ferrari,88.986,29.278,34.017,25.691,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,STR,Aston Martin,89.996,30.112,34.357,25.527,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,TSU,AlphaTauri,89.932,29.975,34.286,25.671,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,VER,Red Bull Racing,88.991,29.546,33.977,25.468,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,VET,Aston Martin,90.214,30.193,34.403,25.618,SOFT,2.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,5,Miami Grand Prix,Miami Grand Prix,permanent,Miami,United States,ZHO,Alfa Romeo,91.02,30.468,34.531,26.021,SOFT,4.0,True,1,True,33.5,38.0,1009.0,False,0.6,16
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,ALB,Williams,81.645,22.57,30.748,28.327,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
